RMSE,filter
{rmse_x:0.084125   rmse_Y:0.0940734  rmse_vx:0.837173  rmse_vY:0.621147  },1
{rmse_x:0.0836704   rmse_Y:0.0941945  rmse_vx:0.83394  rmse_vY:0.62177  },1
{rmse_x:0.0832621   rmse_Y:0.0951182  rmse_vx:0.830573  rmse_vY:0.624171  },1
{rmse_x:0.0834758   rmse_Y:0.0965471  rmse_vx:0.828701  rmse_vY:0.626732  },1
{rmse_x:0.0837558   rmse_Y:0.0988733  rmse_vx:0.826096  rmse_vY:0.630705  },1
{rmse_x:0.0847055   rmse_Y:0.100226  rmse_vx:0.824388  rmse_vY:0.631997  },1
{rmse_x:0.0854563   rmse_Y:0.102632  rmse_vx:0.821444  rmse_vY:0.63527  },1
{rmse_x:0.0862829   rmse_Y:0.103834  rmse_vx:0.81882  rmse_vY:0.6356  },1
{rmse_x:0.0871789   rmse_Y:0.10485  rmse_vx:0.816741  rmse_vY:0.634943  },1
{rmse_x:0.0877953   rmse_Y:0.104742  rmse_vx:0.814583  rmse_vY:0.632362  },1
{rmse_x:0.088124   rmse_Y:0.105  rmse_vx:0.811322  rmse_vY:0.630847  },1
{rmse_x:0.0885514   rmse_Y:0.104598  rmse_vx:0.808405  rmse_vY:0.628046  },1
{rmse_x:0.088893   rmse_Y:0.104147  rmse_vx:0.805488  rmse_vY:0.625203  },1
{rmse_x:0.0893383   rmse_Y:0.103657  rmse_vx:0.803107  rmse_vY:0.62224  },1
{rmse_x:0.0891586   rmse_Y:0.103324  rmse_vx:0.799197  rmse_vY:0.620439  },1
{rmse_x:0.0895041   rmse_Y:0.102902  rmse_vx:0.795896  rmse_vY:0.618217  },1
{rmse_x:0.0900378   rmse_Y:0.102543  rmse_vx:0.793727  rmse_vY:0.61572  },1
{rmse_x:0.090279   rmse_Y:0.102084  rmse_vx:0.791477  rmse_vY:0.612724  },1
{rmse_x:0.0902255   rmse_Y:0.1016  rmse_vx:0.78799  rmse_vY:0.610399  },1
{rmse_x:0.0905395   rmse_Y:0.101116  rmse_vx:0.785141  rmse_vY:0.607852  },1
{rmse_x:0.091096   rmse_Y:0.100721  rmse_vx:0.782364  rmse_vY:0.606004  },1
{rmse_x:0.0914564   rmse_Y:0.100391  rmse_vx:0.779882  rmse_vY:0.603977  },1
{rmse_x:0.0917999   rmse_Y:0.100234  rmse_vx:0.777475  rmse_vY:0.60223  },1
{rmse_x:0.0922162   rmse_Y:0.0998031  rmse_vx:0.77541  rmse_vY:0.599667  },1
{rmse_x:0.0926537   rmse_Y:0.099557  rmse_vx:0.772844  rmse_vY:0.597851  },1
{rmse_x:0.092849   rmse_Y:0.0991127  rmse_vx:0.770331  rmse_vY:0.595277  },1
{rmse_x:0.0929483   rmse_Y:0.0987338  rmse_vx:0.767622  rmse_vY:0.592995  },1
{rmse_x:0.0926177   rmse_Y:0.0983252  rmse_vx:0.764649  rmse_vY:0.590367  },1
{rmse_x:0.0923138   rmse_Y:0.0978952  rmse_vx:0.761881  rmse_vY:0.587817  },1
{rmse_x:0.0923743   rmse_Y:0.0974717  rmse_vx:0.76008  rmse_vY:0.58527  },1
{rmse_x:0.0922528   rmse_Y:0.0972548  rmse_vx:0.756875  rmse_vY:0.584371  },1
{rmse_x:0.0926711   rmse_Y:0.0972796  rmse_vx:0.754302  rmse_vY:0.583426  },1
{rmse_x:0.0932661   rmse_Y:0.0977818  rmse_vx:0.752017  rmse_vY:0.582847  },1
{rmse_x:0.0935357   rmse_Y:0.0979049  rmse_vx:0.749705  rmse_vY:0.581062  },1
{rmse_x:0.0938799   rmse_Y:0.0982835  rmse_vx:0.747738  rmse_vY:0.579222  },1
{rmse_x:0.0941847   rmse_Y:0.0987901  rmse_vx:0.746088  rmse_vY:0.577141  },1
